srno,topic,type,question,option1,option2,option3,option4,correct_option_text,as_response,preethi ma'am response_as,mg_response,preethi ma'am response_mg,correct_option,predictions
1787,Trauma,Preventive,What type of interventions is recommended to prevent the psychological sequelae of childhood sexual abuse?,Early preventative interventions,Pharmacotherapy only,No interventions are necessary,Psychosocial interventions only,Early preventative interventions,Y,Y,Y,Y,1,2
1788,Trauma,Diagnostic,Which social determinant is associated with a higher likelihood of intentional traumatic injuries?,Food insecurity,Healthcare access,Social cohesion,Economic stability,Food insecurity,Y,Y,Y,Y,1,4
1789,Trauma,Prognostic,How might the stress experienced by caregivers of children with autism or ADHD influence their long-term health outcomes?,Reduce risk for diseases associated with inflammation,Increase resilience to stress,Enhance psychological well-being,Lead to chronic health issues,Lead to chronic health issues,Y,Y,Y,Y,4,3
1790,Trauma,Prognostic,How might childhood maltreatment influence the social cognition of patients with opioid dependence?,It has no effect,It may enhance theory of mind performance,It could be a pre-existing risk factor for ToM impairment,It may decrease executive functions only,It could be a pre-existing risk factor for ToM impairment,Y,Y,Y,Y,3,2
1791,Trauma,Prognostic,How does early-life stress impact the behavioral outcomes related to cocaine exposure in female rats during adulthood?,Reduces addiction likelihood,Enhances resilience to stress,Induces persistent negative affect,Increases anxiety levels,Induces persistent negative affect,Y,Y,Y,Y,3,1
1792,Trauma,Diagnostic,The hypercorrelation of which brain regions in veterans with PTSD reflects the integration of sensory inputs during trauma exposure?,Occipital and cerebellar areas,Major sensory cortex areas,"Frontal, parietal, temporal, and limbic areas",Limbic and midbrain areas,"Frontal, parietal, temporal, and limbic areas",Y,Y,Y,Y,3,2
1793,Trauma,Preventive,What role does irritability play in predicting suicidal behaviors in children and adolescents?,An irrelevant symptom to suicidal thoughts,A protective factor against suicide,An indication of good emotional regulation,A risk factor for suicidal ideation,A risk factor for suicidal ideation,Y,Y,Y,Y,4,4
1794,Trauma,Diagnostic,What role does perceived racial discrimination play in the onset of suicidal ideation among African American youth?,No effect at all,Direct effect on suicidal ideation,Negative impact on self-esteem,Increased social support,Direct effect on suicidal ideation,Y,Y,Y,Y,2,1
1795,Trauma,Preventive,What treatment could potentially reduce both PTSD and depression symptoms in veterans?,Use of benzodiazepines,Augmentation with aripiprazole,Cognitive behavioral therapy,Increased exercise,Augmentation with aripiprazole,Y,Y,Y,Y,2,3
1796,Trauma,Diagnostic,What maternal factor was significantly related to greater adolescent adjustment difficulties in the context of trauma exposure?,Higher educational level,Increased income level,More family members,Increased maternal depression,Increased maternal depression,Y,Y,Y,Y,4,1
1797,Trauma,Prognostic,How do new adversities experienced over time affect the mental health symptoms of refugees following trauma?,They have no effect,They predict an increase in symptoms,They guarantee a full recovery,They only affect PTSD symptoms,They predict an increase in symptoms,Y,Y,Y,Y,2,3
1798,Trauma,Prognostic,Which neurostructural imaging biomarker may indicate the severity of fatigue symptoms in children after a traumatic brain injury?,Susceptibility-weighted imaging,CT scan,Diffusion tensor imaging,Functional MRI,Susceptibility-weighted imaging,Y,Y,Y,Y,1,2
1799,Trauma,Diagnostic,Which types of childhood trauma are linked to a higher risk of developing borderline personality disorder?,Chronic illness,Parental separation,Economic hardship,Physical abuse,Physical abuse,Y,Y,Y,Y,4,1
1800,Trauma,Preventive,What should be increased awareness regarding the health of children displaying problems typically associated with Autism Spectrum Disorders?,Anxiety levels,Emotional difficulties,Sleep problems,Behavioral issues,Sleep problems,Y,Y,Y,Y,3,2
1801,Trauma,Diagnostic,What are some major types of needs identified among individuals who have experienced sudden bereavement?,Pragmatic,Emotional,Informational,All of the above,All of the above,Y,Y,Y,Y,4,3
1802,Trauma,Preventive,What strategies can mental health professionals implement to improve suicide risk assessment practices among their patients?,Ignoring previous suicidal thoughts,Increasing training on evidence-based practices,Reducing the number of patients seen,Utilizing psychometric testing for all patients,Increasing training on evidence-based practices,Y,Y,Y,Y,2,1
1803,Trauma,Diagnostic,What mediating factor was identified in the relationship between perceived stress and PTSD among frontline medical staff?,Job satisfaction,Social support,Compassion fatigue,Insomnia severity,Insomnia severity,Y,Y,Y,Y,4,3
1804,Trauma,Prognostic,Which factors are predicted to influence the chronicity of PTSD symptoms after COVID-19 hospitalization?,Social media use,Obesity and pulmonary diseases,Clinical interventions,Age and gender,Obesity and pulmonary diseases,Y,Y,Y,Y,2,1
1805,Trauma,Preventive,What sociocultural factors are noted to play a role in reducing the high rates of suicide by burns among women in certain regions?,Social and economic conditions,Improved educational opportunities,Increased healthcare access,Decreased poverty levels,Social and economic conditions,Y,Y,Y,Y,1,3
1806,Trauma,Prognostic,How might increased posttraumatic stress symptom severity influence coping strategies among trauma-exposed individuals?,Increase healthy coping mechanisms,Lead to substance use for coping,Enhance resilience towards stress,Decrease emotional distress,Lead to substance use for coping,Y,Y,Y,Y,2,1
1807,Trauma,Preventive,What psychotherapy intervention is proposed for alleviating symptoms of trauma in first responders?,Medication,Eye Movement Desensitization and Reprocessing,Cognitive Behavioral Therapy,Group Therapy,Eye Movement Desensitization and Reprocessing,Y,Y,Y,Y,2,1
1808,Trauma,Preventive,What strategies can be employed to mitigate the effects of physical and mental stressors during adolescence?,Enhance academic pressure,Increase physical activity,Ignore stressors,Develop targeted interventions,Develop targeted interventions,Y,Y,Y,Y,4,4
1809,Trauma,Preventive,What can help improve the management strategies concerning toxic substance exposure among those with mental health issues?,Wider access to medical facilities,Increased mental health education,Stricter toxic substance regulations,More emergency response teams,Increased mental health education,Y,Y,Y,Y,2,4
1810,Trauma,Diagnostic,What factors were associated with the presence of insomnia in patients following traumatic brain injury?,Headache and anxiety,Sleep hygiene practices,GCS and age,Age and sex,Headache and anxiety,Y,Y,Y,Y,1,4
1811,Trauma,Prognostic,How might the prevalence of violence against women be expected to impact mental health outcomes in affected populations?,Decreased healthcare utilization,Lead to improved social cohesion,Increase rates of anxiety and depression,Reduce incidence of PTSD,Increase rates of anxiety and depression,Y,Y,Y,Y,3,4
1812,Trauma,Preventive,What type of intervention was assessed for its effectiveness in preventing the development of PTSD in trauma-exposed individuals?,Individual psychodynamic therapy,Dyadic cognitive-behavioral intervention,Group support therapy,Medication-assisted therapy,Dyadic cognitive-behavioral intervention,Y,Y,Y,Y,2,4
1813,Trauma,Preventive,What type of media portrayal may positively influence individuals with higher suicidal tendencies?,negative outcomes,mastery of crisis,suicide completion,death by natural causes,mastery of crisis,Y,Y,Y,Y,2,3
1814,Trauma,Preventive,What interventions are suggested to support posttraumatic growth among gang-involved youth?,Enhanced sports programs,Increased educational opportunities,Trauma-focused treatment,Job placement services,Trauma-focused treatment,Y,Y,Y,Y,3,3
1815,Trauma,Diagnostic,What underlying factors are suggested to be associated with the presentation of rectal foreign bodies in patients with psychiatric illness?,Older age,Better mental health,Higher socioeconomic status,Lower socioeconomic status,Lower socioeconomic status,Y,Y,Y,Y,4,2
1816,Trauma,Preventive,Which medication is considered a safer alternative to amobarbital in drug-assisted interviews for dissociative amnesia?,Diazepam,Clonazepam,Alprazolam,Lorazepam,Lorazepam,Y,Y,Y,Y,4,1
1817,Trauma,Prognostic,How does childhood trauma affect stress sensitivity in later psychotic outcomes?,Increases stress sensitivity,No effect on stress sensitivity,Decreases stress sensitivity,Only affects emotional responses,Increases stress sensitivity,Y,Y,Y,Y,1,2
1818,Trauma,Diagnostic,What factors have been identified as risk factors for poorer mental health outcomes following collective actions?,Higher social support,Greater community cohesion,Lower socioeconomic status,Increased resilience,Lower socioeconomic status,Y,Y,Y,Y,3,2
1819,Trauma,Preventive,What intervention can be used to significantly reduce the risk of trauma recidivism in individuals with PTSD?,Outpatient PTSD treatment,Support groups,Medication management,Cognitive Behavioral Therapy,Outpatient PTSD treatment,Y,Y,Y,Y,1,1
1820,Trauma,Diagnostic,Which attachment characteristics have been associated with posttraumatic stress symptoms among veterans seeking care?,Attachment ambivalence,Attachment anxiety,Attachment avoidance,Attachment security,Attachment anxiety,Y,Y,Y,Y,2,4
1821,Trauma,Diagnostic,What psychological measure was significantly higher in pregnant women diagnosed with a structural fetal anomaly compared to those without?,Hospital Anxiety and Depression Scale,Impact of Event Scale,Beck Depression Inventory,State-Trait Anxiety Inventory,Impact of Event Scale,Y,Y,Y,Y,2,2
1822,Trauma,Preventive,Which aspect of hope may be particularly crucial in mitigating negative psychological adjustment after exposure to interpersonal violence?,hope agency,hope absence,hope resilience,hope pathways,hope agency,Y,Y,Y,Y,1,3
1823,Trauma,Preventive,What is a necessary support that should be provided to migrants suffering from post-traumatic stress to facilitate their recovery process?,Job placement services,Medication,Social worker involvement,Legal assistance,Social worker involvement,Y,Y,Y,Y,3,4
