id,topic,type,question,option1,option2,option3,option4,correct_option,correct_option_number,predictions
33957704,Depression,Preventive,What intervention could potentially improve quality of life by addressing high anxiety levels in breast cancer patients?,Engaging in physical activity,Therapeutic counseling,Dietary changes,Reducing medication,Therapeutic counseling,2,3.0
16624467,Depression,Preventive,Which treatment strategy has shown significant clinical improvement for patients with alcohol dependence alongside depressive disorders?,Mindfulness-based therapy,Cognitive behavioral therapy,Mirtazapine treatment,Electroconvulsive therapy,Mirtazapine treatment,3,2.0
20545777,Anxiety,Diagnostic,What key factors contribute to elderly patients' refusal of implant-supported overdentures?,Preference for traditional dentures,Fear of pain,Financial constraints,Desire for multiple implants,Fear of pain,2,2.0
34478401,Anxiety,Diagnostic,Which group of health care workers reported significantly higher levels of anxiety related to the COVID-19 outbreak?,Doctors,Administrative staff,Nursing professionals,Support staff,Nursing professionals,3,3.0
34346493,Anxiety,Prognostic,How might chronic stress exposure impact the anxiety-related behaviors in individuals experiencing stress-related disorders?,Decrease in anxiety-like behaviors,No impact on anxiety,Increase in cognitive function,Increase in anxiety-like behaviors,Increase in anxiety-like behaviors,4,4.0
28539954,Anxiety,Diagnostic,Which mechanism is involved in the differential control of fear consolidation and extinction by the bed nucleus of the stria terminalis?,Hormonal fluctuations,Neural projection patterns,Cognitive biases,Chemical imbalances,Neural projection patterns,2,2.0
21295942,Obsessive/Compulsive Disorders,Diagnostic,"What is a potential contributing factor to the onset of obsessive-compulsive disorder in children and adolescents, as suggested by the over-representation in this demographic?",Physical illness,Environmental factors,Psychological trauma,Genetic factors,Genetic factors,4,2.0
26976771,Depression,Diagnostic,"Among older adults, which type of self-harm behavior was significantly more common than nonsuicidal self-injury in emergency department visits?",Depression-related behaviors,Substance use disorders,Suicide attempts,Anxiety attacks,Suicide attempts,3,3.0
34890592,Anxiety,Diagnostic,Which part of the brain showed a larger volume in high-avoidance rats compared to others studied?,Cerebellum,Basolateral amygdala,Prefrontal cortex,Hippocampus,Basolateral amygdala,2,2.0
30290540,Anxiety,Prognostic,How does economic disadvantage relate to psychiatric outcomes and contact with the law among young adults?,Increases self-esteem,Reduces substance misuse,Increases psychiatric conditions,Decreases educational attainment,Increases psychiatric conditions,3,2.0
28183568,Anxiety,Preventive,What method is suggested to help reduce premedication anxiety in children undergoing surgery?,Engaging in deep breathing,Watching cartoons,Listening to music,Playing with play dough,Playing with play dough,4,1.0
22809441,Depression,Preventive,What type of discussions may provide greater benefits in online depression communities?,Supportive and informative,Unrelated discussions,Only informative,Only supportive,Supportive and informative,1,1.0
23112503,Anxiety,Diagnostic,What was identified as a significant difference in mental health between executives and shop floor workers?,More family support,Increased job stress,Higher job satisfaction,Better work-life balance,Increased job stress,2,2.0
34281361,Anxiety,Diagnostic,What distinguishes the utilization of health care services between individuals with cluster B personality disorders and those with schizophrenia?,Those with personality disorders use more medical care services,Patients with personality disorders use more psychotherapy,Patients with schizophrenia avoid medical treatment,Individuals with both disorders face fewer obstacles,Those with personality disorders use more medical care services,1,3.0
35693497,Anxiety,Diagnostic,What factors have been associated with increased symptoms of anxiety among pregnant women during the COVID-19 pandemic?,"Frequent social interactions, minimal screen time","Poor diet, lack of physical exercise","High income, regular sleep","High physical activity, strong family support","Poor diet, lack of physical exercise",2,4.0
36246683,Anxiety,Preventive,What approach may effectively lower psychological cravings in patients undergoing rehabilitation from alcohol dependence?,Individual cognitive therapy,Pharmacological treatment alone,Family therapy only,Grouping motivational interviewing,Grouping motivational interviewing,4,4.0
35150311,Anxiety,Prognostic,How does maternal psychological distress during pregnancy influence the likelihood of elective cesarean sections?,Increases likelihood,No effect,Decreases likelihood,Only affects labor duration,Increases likelihood,1,1.0
34649846,Anxiety,Preventive,What strategies can be employed to improve mental health literacy among asylum seekers facing psychological treatment barriers?,Culturally sensitive psychoeducation,Medication management,Support groups,Cognitive-behavioral therapy,Culturally sensitive psychoeducation,1,1.0
37982867,Trauma,Diagnostic,What association was investigated regarding Toxoplasma gondii infection in relation to suicide among decedents?,No association with suicide,Prevalence of somatic symptoms,History of psychiatric disorders,Increased likelihood of suicide,Increased likelihood of suicide,4,4.0
33724535,Anxiety,Prognostic,In what way does decentering potentially influence the relationship between non-suicidal self-injury and suicide ideation among young adults?,By reducing cognitive-affective risk factors,By promoting depressive symptoms,By exacerbating hopelessness,By directly increasing NSSI behavior,By reducing cognitive-affective risk factors,1,1.0
23264760,Anxiety,Preventive,What type of stress exposure may potentially alter the neural responses associated with anxiety in adult male rats?,Gestational and acute stress,Environmental stressors,Chronic stress,Social stressors,Gestational and acute stress,1,4.0
28579659,Anxiety,Diagnostic,What transdiagnostic factor is suggested to play a role in the development of adolescent social anxiety and depression?,externalizing behavior,dysregulated expression,repetitive negative thinking,emotional awareness,repetitive negative thinking,3,3.0
33739446,Anxiety,Factoid,"During the COVID-19 pandemic, what was a significantly negative correlation in coping types related to left-behind children's mental health?",Distress responses,Problem-focused reactions,Emotional support,Punitive reactions,Punitive reactions,4,3.0
33410605,Anxiety,Diagnostic,Which brain structure's volume reduction is associated with mood regulation and memory deficits in adolescents with single ventricle heart disease?,Cerebellum,Hippocampus,Amygdala,Frontal cortex,Hippocampus,2,2.0
22183054,Anxiety,Preventive,What type of exercise is indicated to reduce anxiety-related behaviors and cognitive decline in aging rats?,Sedentary behavior,High-intensity interval training,Aerobic exercise of moderate intensity,Strength training,Aerobic exercise of moderate intensity,3,3.0
27108917,Depression,Diagnostic,What clinical condition may be related to the presence of rapid eye movement sleep without atonia in psychiatric patients?,Post-traumatic stress disorder,Lewy body disease,Schizophrenia,Bipolar disorder,Lewy body disease,2,1.0
34768677,Depression,Factoid,What has been concluded about the effect of vitamin D supplementation on mental health in healthy adults based on the systematic review findings?,It does not provide strong evidence for improvement in mental health,It significantly increases quality of life,It eliminates anxiety symptoms,It effectively reduces depressive symptoms,It does not provide strong evidence for improvement in mental health,1,2.0
36128679,Anxiety,Prognostic,How might the presence of cognitive impairment and longer duration of psychiatric disorders affect neuroimaging outcomes in patients?,Worsening diagnostic clarity,Increased likelihood of abnormalities,Decreased need for follow-up,Improved treatment efficacy,Increased likelihood of abnormalities,2,2.0
34318963,Anxiety,Diagnostic,Which factor was identified as a significant protective skill against generalized anxiety disorder symptoms among ICU professionals during the pandemic?,Seeking social support,Avoiding stressful situations,Taking things in stride,Engaging in physical activity,Taking things in stride,3,3.0
33672120,Anxiety,Preventive,What type of intervention may effectively reduce symptoms of generalized anxiety disorder during a pandemic?,Group therapy workshops,Traditional medication approaches,In-person therapy sessions,Daily supportive text messages,Daily supportive text messages,4,4.0
21990511,Anxiety,Preventive,What intervention has been tested to alleviate anxiety in patients undergoing cerebral angiography?,Acupuncture treatment,Cognitive behavioral therapy,Music intervention,Mindfulness meditation,Music intervention,3,4.0
32003252,Anxiety,Preventive,"What intervention might enhance parental emotional states, self-efficacy, and social support in parents of children with autism spectrum disorders?",Medication Adjustment,"Hanen's ""More Than Words""",Cognitive Behavioral Therapy,Mindfulness Training,"Hanen's ""More Than Words""",2,3.0
37431442,Depression,Prognostic,How might offspring of mothers with high maladaptive personality traits expect to experience depressive symptoms during adolescence compared to those with low maladaptive traits?,Higher levels,Lower levels,Irregular levels,No difference,Higher levels,1,1.0
